2025-06-02 14:11:09.621 | INFO     | utils.logger:setup_logging:23 - Logging configured.
2025-06-02 14:14:50.442 | INFO     | utils.logger:setup_logging:23 - Logging configured.
2025-06-02 14:14:50.442 | INFO     | __main__:main:16 - Starting Multi-Agent System Server on 127.0.0.1:8000
2025-06-02 14:14:50.442 | INFO     | __main__:main:17 - WebSocket Server will run on ws://127.0.0.1:8001/ws
2025-06-02 14:14:50.492 | INFO     | server.agent_server:lifespan:25 - Agent Server starting up...
2025-06-02 14:14:50.492 | INFO     | server.orchestrator:initialize:34 - Initializing OrchestratorAgent with Google ADK and Perplexity AI...
2025-06-02 14:14:50.969 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5001/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:14:50.969 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for weather_agent at http://127.0.0.1:5001/a2a. It might not be running.
2025-06-02 14:14:51.323 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5002/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:14:51.325 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for web_search_agent at http://127.0.0.1:5002/a2a. It might not be running.
2025-06-02 14:14:51.575 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5003/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:14:51.575 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for news_agent at http://127.0.0.1:5003/a2a. It might not be running.
2025-06-02 14:14:51.583 | INFO     | server.orchestrator:initialize:62 - Loaded 0 ADK tools from A2A agent configurations.
2025-06-02 14:19:22.818 | INFO     | utils.logger:setup_logging:23 - Logging configured.
2025-06-02 14:19:22.818 | INFO     | __main__:main:16 - Starting Multi-Agent System Server on 127.0.0.1:8000
2025-06-02 14:19:22.822 | INFO     | __main__:main:17 - WebSocket Server will run on ws://127.0.0.1:8001/ws
2025-06-02 14:19:22.867 | INFO     | server.agent_server:lifespan:25 - Agent Server starting up...
2025-06-02 14:19:22.867 | INFO     | server.orchestrator:initialize:34 - Initializing OrchestratorAgent with Google ADK and Perplexity AI...
2025-06-02 14:19:22.925 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5001/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:19:22.934 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for weather_agent at http://127.0.0.1:5001/a2a. It might not be running.
2025-06-02 14:19:22.967 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5002/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:19:22.967 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for web_search_agent at http://127.0.0.1:5002/a2a. It might not be running.
2025-06-02 14:19:22.992 | ERROR    | protocols.a2a_protocol:discover_agent_card:35 - An unexpected error occurred during agent discovery at http://127.0.0.1:5003/a2a: 'A2AClient' object has no attribute 'discover'
2025-06-02 14:19:22.999 | WARNING  | server.orchestrator:initialize:58 - Could not discover AgentCard for news_agent at http://127.0.0.1:5003/a2a. It might not be running.
2025-06-02 14:19:22.999 | INFO     | server.orchestrator:initialize:62 - Loaded 0 ADK tools from A2A agent configurations.
2025-06-02 14:23:17.886 | INFO     | utils.logger:setup_logging:23 - Logging configured.
2025-06-02 14:23:17.886 | INFO     | __main__:main:16 - Starting Multi-Agent System Server on 127.0.0.1:8000
